"","mlrassoarea","nonmlrassaarea","projecttypename","fiscalyear","projectiid","projectname","areasymbol","areaname","pmu_seqnum","lmapunitiid","nationalmusym","musym","muname","mukind","mutype","mustatus","mustatus_new","muacres","farmlndcl","dmuiid","dmuiid_nonreps","dmudesc"
"16","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)",NA,NA,NA,NA,"2z5ll",NA,"Bonanza-Loafercreek-Jasperpeak complex, 15 to 30 percent slopes","complex","mlra map unit",NA,"correlated",NA,NA,859769,NA,"MLRA 18 - Jgo - Bonanza-Loafercreek-Jasperpeak cplx, 15 to 30  (7076b) - 2z5ll"
"17","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)",NA,NA,NA,NA,"2z5lm",NA,"Jasperpeak-Gopheridge-Rock outcrop complex, 15 to 45 percent slopes","complex","mlra map unit",NA,"correlated",NA,NA,859770,NA,"MLRA 18 - Jgo - Jasperpeak-Gopheridge-Rock outcrop cplx, 15 to 45  (7078b) - 2z5ln"
"18","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)",NA,NA,NA,NA,"2z5ln",NA,"Gopheridge-Jasperpeak-Rock outcrop complex, 30 to 60 percent slopes","complex","mlra map unit",NA,"correlated",NA,NA,859772,NA,"MLRA 18 - Jgo - Gopheridge-Jasperpeak-Rock outcrop cplx, 30 to 60 (7079b) - 2z5lm"
"19","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)","CA630","Central Sierra Foothills Area, California, Parts of Calaveras and Tuolumne Counties",NA,2924751,"2x296","7074","Loafercreek-Bonanza complex, 3 to 15 percent slopes","complex","mlra map unit","correlated","correlated",24144,"0",758289,"589729","MLRA 18 - Loafercreek-Bonanza cplx, 3 to 15 - 2x296"
"20","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)","CA630","Central Sierra Foothills Area, California, Parts of Calaveras and Tuolumne Counties",NA,2924752,"2x294","7076","Bonanza-Loafercreek-Gopheridge complex, 15 to 30 percent slopes","complex","mlra map unit","correlated","correlated",41093,"0",758288,"540197, 648379","MLRA 18 - Bonanza-Loafercreek-Gopheridge cplx, 15 to 30 - 2x294"
"21","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)","CA630","Central Sierra Foothills Area, California, Parts of Calaveras and Tuolumne Counties",NA,2924753,"2x295","7078","Jasperpeak-Gopheridge complex, 30 to 60 percent slopes","complex","mlra map unit","correlated","correlated",9583,"0",758290,NA,"MLRA 18 - Jasperpeak-Gopheridge cplx, 30 to 60 - 2x295"
"22","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)","CA630","Central Sierra Foothills Area, California, Parts of Calaveras and Tuolumne Counties",NA,2924754,"2x293","7079","Gopheridge-Loafercreek complex, 30 to 60 percent slopes","complex","mlra map unit","correlated","correlated",5120,"0",785640,NA,"MLRA 18 - Gopheridge-Loafercreek cplx, 30 to 60 - 2x293"
"23","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)","CA630","Central Sierra Foothills Area, California, Parts of Calaveras and Tuolumne Counties",NA,2450844,"2n89h","7083","Aquic Haploxeralfs-Loafercreek-Dunstone complex, 1 to 12 percent slopes","complex","mlra map unit","correlated","correlated",18774,"0",552167,"524303, 539611, 589719, 589720","MLRA 18 - Aquic Haploxeralfs-Loafercreek-Dunstone cplx, 1 to 12 - 2n89h"
"24","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)","CA630","Central Sierra Foothills Area, California, Parts of Calaveras and Tuolumne Counties",NA,2441798,"2mywp","7085","Bonanza-Loafercreek complex, 3 to 15 percent slopes","complex","mlra map unit","correlated","correlated",42973,"0",551578,"524305, 540199, 543504, 547097, 551799, 557204, 648378","MLRA 18 - Bonanza-Loafercreek cplx, 3 to 15 - 2mywp"
"25","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)","CA630","Central Sierra Foothills Area, California, Parts of Calaveras and Tuolumne Counties",NA,2440240,"2mx8f","7086","Loafercreek-Gopheridge complex, 15 to 30 percent slopes","complex","mlra map unit","correlated","correlated",37033,"0",551101,"524306, 524308, 531731, 551828","MLRA 18 - Loafercreek-Gopheridge cplx, 15 to 30 - 2mx8f"
"26","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)","CA630","Central Sierra Foothills Area, California, Parts of Calaveras and Tuolumne Counties",NA,2440242,"2mx8h","7087","Loafercreek-Gopheridge complex, cool, 15 to 30 percent slopes","complex","mlra map unit","correlated","correlated",8568,"0",551100,"589730","MLRA 18 - Loafercreek-Gopheridge cplx, cool, 15 to 30 - 2mx8h"
"27","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)","CA630","Central Sierra Foothills Area, California, Parts of Calaveras and Tuolumne Counties",NA,1865926,"20mn5","7088","Loafercreek-Gopheridge complex, 30 to 60 percent slopes","complex","mlra map unit","correlated","correlated",27049,"0",552165,"531732, 531754, 551827","MLRA 18 - Loafercreek-Gopheridge cplx, 30 to 60 - 20mn5"
"28","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)","CA630","Central Sierra Foothills Area, California, Parts of Calaveras and Tuolumne Counties",NA,2450843,"2n89g","7089","Gardellones-Gopheridge-Motherlode complex, 30 to 60 percent slopes","complex","mlra map unit","correlated","correlated",12639,"0",552166,"531733, 589731","MLRA 18 - Gardellones-Gopheridge-Motherlode cplx, 30 to 60 - 2n89g"
"29","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)","CA630","Central Sierra Foothills Area, California, Parts of Calaveras and Tuolumne Counties",NA,2426483,"2mfyn","7096","Gopheridge-Loafercreek complex, 50 to 90 percent slopes","complex","mlra map unit","correlated","correlated",1689,"0",547094,"551826","MLRA 18 - Gopheridge-Loafercreek cplx, 50 to 90 - 2mfyn"
"30","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)","CA632","Stanislaus County, California, Northern Part",NA,2924963,"2x294","7076","Bonanza-Loafercreek-Gopheridge complex, 15 to 30 percent slopes","complex","mlra map unit","correlated","correlated",3641,"0",758288,"540197, 648379","MLRA 18 - Bonanza-Loafercreek-Gopheridge cplx, 15 to 30 - 2x294"
"31","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)","CA632","Stanislaus County, California, Northern Part",NA,2924965,"2x295","7078","Jasperpeak-Gopheridge complex, 30 to 60 percent slopes","complex","mlra map unit","correlated","correlated",76,"0",758290,NA,"MLRA 18 - Jasperpeak-Gopheridge cplx, 30 to 60 - 2x295"
"32","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)","CA632","Stanislaus County, California, Northern Part",NA,2924961,"2n89h","7083","Aquic Haploxeralfs-Loafercreek-Dunstone complex, 1 to 12 percent slopes","complex","mlra map unit","correlated","correlated",98,"0",552167,"524303, 539611, 589719, 589720","MLRA 18 - Aquic Haploxeralfs-Loafercreek-Dunstone cplx, 1 to 12 - 2n89h"
"33","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)","CA632","Stanislaus County, California, Northern Part",NA,2924962,"2mywp","7085","Bonanza-Loafercreek complex, 3 to 15 percent slopes","complex","mlra map unit","correlated","correlated",1490,"0",551578,"524305, 540199, 543504, 547097, 551799, 557204, 648378","MLRA 18 - Bonanza-Loafercreek cplx, 3 to 15 - 2mywp"
"34","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)","CA644","Eastern Stanislaus Area, California",NA,2924973,"2x294","7076","Bonanza-Loafercreek-Gopheridge complex, 15 to 30 percent slopes","complex","mlra map unit","correlated","correlated",4283,"0",758288,"540197, 648379","MLRA 18 - Bonanza-Loafercreek-Gopheridge cplx, 15 to 30 - 2x294"
"35","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)","CA644","Eastern Stanislaus Area, California",NA,2924974,"2x295","7078","Jasperpeak-Gopheridge complex, 30 to 60 percent slopes","complex","mlra map unit","correlated","correlated",49,"0",758290,NA,"MLRA 18 - Jasperpeak-Gopheridge cplx, 30 to 60 - 2x295"
"36","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)","CA644","Eastern Stanislaus Area, California",NA,2924975,"2n89h","7083","Aquic Haploxeralfs-Loafercreek-Dunstone complex, 1 to 12 percent slopes","complex","mlra map unit","correlated","correlated",216,"0",552167,"524303, 539611, 589719, 589720","MLRA 18 - Aquic Haploxeralfs-Loafercreek-Dunstone cplx, 1 to 12 - 2n89h"
"37","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)","CA644","Eastern Stanislaus Area, California",NA,2924976,"2mywp","7085","Bonanza-Loafercreek complex, 3 to 15 percent slopes","complex","mlra map unit","correlated","correlated",515,"0",551578,"524305, 540199, 543504, 547097, 551799, 557204, 648378","MLRA 18 - Bonanza-Loafercreek cplx, 3 to 15 - 2mywp"
"38","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)","CA644","Eastern Stanislaus Area, California",NA,2924977,"2mfyn","7096","Gopheridge-Loafercreek complex, 50 to 90 percent slopes","complex","mlra map unit","correlated","correlated",36,"0",547094,"551826","MLRA 18 - Gopheridge-Loafercreek cplx, 50 to 90 - 2mfyn"
"39","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)","CA649","Mariposa County Area, California",NA,2924990,"2x296","7074","Loafercreek-Bonanza complex, 3 to 15 percent slopes","complex","mlra map unit","correlated","correlated",4,"0",758289,"589729","MLRA 18 - Loafercreek-Bonanza cplx, 3 to 15 - 2x296"
"40","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)","CA649","Mariposa County Area, California",NA,2924991,"2x294","7076","Bonanza-Loafercreek-Gopheridge complex, 15 to 30 percent slopes","complex","mlra map unit","correlated","correlated",1418,"0",758288,"540197, 648379","MLRA 18 - Bonanza-Loafercreek-Gopheridge cplx, 15 to 30 - 2x294"
"41","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)","CA649","Mariposa County Area, California",NA,2924992,"2x295","7078","Jasperpeak-Gopheridge complex, 30 to 60 percent slopes","complex","mlra map unit","correlated","correlated",160,"0",758290,NA,"MLRA 18 - Jasperpeak-Gopheridge cplx, 30 to 60 - 2x295"
"42","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)","CA649","Mariposa County Area, California",NA,2924993,"2x293","7079","Gopheridge-Loafercreek complex, 30 to 60 percent slopes","complex","mlra map unit","correlated","correlated",764,"0",785640,NA,"MLRA 18 - Gopheridge-Loafercreek cplx, 30 to 60 - 2x293"
"43","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)","CA649","Mariposa County Area, California",NA,2924985,"2n89h","7083","Aquic Haploxeralfs-Loafercreek-Dunstone complex, 1 to 12 percent slopes","complex","mlra map unit","correlated","correlated",185,"0",552167,"524303, 539611, 589719, 589720","MLRA 18 - Aquic Haploxeralfs-Loafercreek-Dunstone cplx, 1 to 12 - 2n89h"
"44","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)","CA649","Mariposa County Area, California",NA,2924994,"2mywp","7085","Bonanza-Loafercreek complex, 3 to 15 percent slopes","complex","mlra map unit","correlated","correlated",1476,"0",551578,"524305, 540199, 543504, 547097, 551799, 557204, 648378","MLRA 18 - Bonanza-Loafercreek cplx, 3 to 15 - 2mywp"
"45","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)","CA649","Mariposa County Area, California",NA,2924995,"2mx8f","7086","Loafercreek-Gopheridge complex, 15 to 30 percent slopes","complex","mlra map unit","correlated","correlated",777,"0",551101,"524306, 524308, 531731, 551828","MLRA 18 - Loafercreek-Gopheridge cplx, 15 to 30 - 2mx8f"
"46","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)","CA649","Mariposa County Area, California",NA,2924996,"2mx8h","7087","Loafercreek-Gopheridge complex, cool, 15 to 30 percent slopes","complex","mlra map unit","correlated","correlated",59,"0",551100,"589730","MLRA 18 - Loafercreek-Gopheridge cplx, cool, 15 to 30 - 2mx8h"
"47","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)","CA649","Mariposa County Area, California",NA,2924997,"20mn5","7088","Loafercreek-Gopheridge complex, 30 to 60 percent slopes","complex","mlra map unit","correlated","correlated",2048,"0",552165,"531732, 531754, 551827","MLRA 18 - Loafercreek-Gopheridge cplx, 30 to 60 - 20mn5"
"48","2-SON",NA,"MLRA",NA,218746,"MLRA 18 - Metavolcanic MLRA Mapunits (PLACEHOLDER)","CA649","Mariposa County Area, California",NA,2924998,"2n89g","7089","Gardellones-Gopheridge-Motherlode complex, 30 to 60 percent slopes","complex","mlra map unit","correlated","correlated",401,"0",552166,"531733, 589731","MLRA 18 - Gardellones-Gopheridge-Motherlode cplx, 30 to 60 - 2n89g"
"49","2-SON","CA649","MLRA",2031,214261,"MLRA 18 - Trabuco TAD2 & TaE2 Mariposa Area (CA649)","CA649","Mariposa County Area, California",NA,463302,"hk37","TaD2","Trabuco clay loam, 2 to 15 percent slopes, eroded","consociation",NA,"correlated","correlated",1789,"30",292628,NA,"649TaD2"
"50","2-SON","CA649","MLRA",2031,214261,"MLRA 18 - Trabuco TAD2 & TaE2 Mariposa Area (CA649)","CA649","Mariposa County Area, California",NA,463303,"hk38","TaE2","Trabuco clay loam, 15 to 30 percent slopes, eroded","consociation",NA,"correlated","correlated",710,"0",292629,NA,"649TaE2"
"51","2-SON",NA,"MLRA",NA,218749,"MLRA 18 - CA649 Metavolcanic pESD Mapunits (PLACEHOLDER)","CA649","Mariposa County Area, California",NA,463241,"hk18","AkF2","Auburn stony loam, 30 to 50 percent slopes","consociation",NA,"correlated","correlated",4402,"0",292567,NA,"649AkF2"
"52","2-SON",NA,"MLRA",NA,218749,"MLRA 18 - CA649 Metavolcanic pESD Mapunits (PLACEHOLDER)","CA649","Mariposa County Area, California",NA,463242,"hk19","AmG3","Auburn rocky loam, 30 to 75 percent slopes, severely eroded","consociation",NA,"correlated","correlated",13001,"0",292568,NA,"649AmG3"
"53","2-SON",NA,"MLRA",NA,218749,"MLRA 18 - CA649 Metavolcanic pESD Mapunits (PLACEHOLDER)","CA649","Mariposa County Area, California",NA,463249,"hk1j","BfG","Blasingame extremely rocky loam, 50 to 75 percent slopes","complex",NA,"correlated","correlated",1889,"0",292575,NA,"649BfG"
"54","2-SON",NA,"MLRA",NA,218749,"MLRA 18 - CA649 Metavolcanic pESD Mapunits (PLACEHOLDER)","CA649","Mariposa County Area, California",NA,463252,"hk1m","BkE2","Blasingame-Las Posas stony loams, 9 to 30 percent slopes, erode","complex",NA,"correlated","correlated",3748,"0",292578,NA,"649BkE2"
"55","2-SON",NA,"MLRA",NA,218749,"MLRA 18 - CA649 Metavolcanic pESD Mapunits (PLACEHOLDER)","CA649","Mariposa County Area, California",NA,463304,"hk39","TbF2","Trabuco very rocky clay loam, 15 to 50 percent slopes, eroded","complex",NA,"correlated","correlated",11775,"0",292630,NA,"649TbF2"
